"","SSU_YEAR","NUM.total","occ","SPECIES_CD","X","PRIMARY_SAMPLE_UNIT","YEAR","MONTH","DAY","STATION_NR","LAT_DEGREES","LON_DEGREES","DEPTH","UNDERWATER_VISIBILITY","MAPGRID_NR","HABITAT_CD","ZONE_NR","SUBREGION_NR","MPA_NR","SPECIES_NR","LEN","NUM","TIME_SEEN","PROT","STRAT","REGION","LAT_LON","REEF_site","REEF_lat","REEF_lon","region.id","HAB_CD2","psu_id","NUM.total2","PSU_YEAR"
"36","1999_047U_2",0,0,"HOL BERM",48841,"047U",1999,6,17,2,24.5235,-81.51583,6.9,8,5581062,"SPGR_HR",4,8,0,152,0,0,1,0,"HRRF","FLA KEYS","24.5235_-81.51583","NOAA Site-Stn 13702",24.5227166666667,-81.5187666666667,3408,"SPGR",41,0,"1999_047U"
"37","1999_048U_1",0,0,"HOL BERM",49611,"048U",1999,6,17,1,24.52317,-81.51917,4,8,5577312,"SPGR_HR",4,8,0,152,0,0,1,0,"HRRF","FLA KEYS","24.52317_-81.51917","NOAA Site-Stn 13702",24.5227166666667,-81.5187666666667,3408,"SPGR",42,0,"1999_048U"
"38","1999_048U_2",0,0,"HOL BERM",49570,"048U",1999,6,17,2,24.52317,-81.5195,6.3,8,5573562,"SPGR_HR",4,8,0,152,0,0,1,0,"HRRF","FLA KEYS","24.52317_-81.5195","NOAA Site-Stn 13702",24.5227166666667,-81.5187666666667,3408,"SPGR",43,0,"1999_048U"
"39","1999_051U_1",0,0,"HOL BERM",52287,"051U",1999,6,17,1,24.5345,-81.47083,5,8,5667318,"SPGR_LR",4,8,0,152,0,0,1,0,"FMLR","FLA KEYS","24.5345_-81.47083","NOAA Site-Stn 0512",24.5361,-81.4744333333333,3408,"SPGR",44,0,"1999_051U"
"40","1999_051U_2",0,0,"HOL BERM",52288,"051U",1999,6,17,2,24.534,-81.47033,6.7,8,5667318,"SPGR_LR",4,8,0,152,0,0,1,0,"FMLR","FLA KEYS","24.534_-81.47033","NOAA Site-Stn 0512",24.5361,-81.4744333333333,3408,"SPGR",45,0,"1999_051U"
"41","1999_091U_1",0,0,"HOL BERM",87041,"091U",1999,8,3,1,24.45942,-81.84472,5.2,8,4954777,"SPGR_HR",4,8,21,152,0,0,1,1,"HRRF","FLA KEYS","24.45942_-81.84472","Eastern Dry Rocks Shallow",24.4591666666667,-81.8445,3408,"SPGR",50,0,"1999_091U"
"42","1999_091U_2",0,0,"HOL BERM",87057,"091U",1999,8,3,2,24.45925,-81.8442,5.8,8,4958527,"SPGR_HR",4,8,21,152,0,0,1,1,"HRRF","FLA KEYS","24.45925_-81.8442","NOAA Site-Stn 14182",24.4594666666667,-81.8442,3408,"SPGR",51,0,"1999_091U"
"43","1999_092U_1",0,0,"HOL BERM",87809,"092U",1999,8,3,1,24.46128,-81.842,4.9,8,4962278,"SPGR_HR",4,8,21,152,0,0,1,1,"HRRF","FLA KEYS","24.46128_-81.842","NOAA Site-Stn 14182",24.4594666666667,-81.8442,3408,"SPGR",52,0,"1999_092U"
"44","1999_092U_2",0,0,"HOL BERM",88155,"092U",1999,8,3,2,24.45988,-81.84255,4.9,8,4962278,"SPGR_HR",4,8,21,152,0,0,1,1,"HRRF","FLA KEYS","24.45988_-81.84255","NOAA Site-Stn 14182",24.4594666666667,-81.8442,3408,"SPGR",53,0,"1999_092U"
"45","1999_093U_1",0,0,"HOL BERM",89046,"093U",1999,8,3,1,24.45402,-81.85887,5.5,8,4928524,"SPGR_HR",4,8,22,152,0,0,1,1,"HRRF","FLA KEYS","24.45402_-81.85887","Squid Row",24.4496666666667,-81.8606666666667,3408,"SPGR",54,0,"1999_093U"
