"","SP","m1.loo","m2.loo","m1.params","m2.params","mod","m1.sd_q","m2.sd_q1","m2.sd_q2","m1.sd_r1","m1.sd_r2","m2.sd_r1","m2.sd_r2","prop.sd.m1.rvc","prop.sd.m1.reef","prop.sd.m2.rvc","prop.sd.m2.reef","years.rvc","years.reef","rvc.b0","reef.b0","rvc.var.hab","reef.var.hab","reef.var.site","reef.var.dmy","reef.var.diver","rvc.b.depth","reef.b.depth","reef.b.btime","reef.b.vis","reef.b.curr","rvc.b.cont","reef.b.cont","rvc.b.isol","reef.b.isol","rvc.b.rubb","reef.b.hubb","rvc.b.sg","reef.b.sg","b.expert.reef","V41"
"29","Scrawled Filefish",5.55299631244404,18.94271978884,7.82507072790049,4.52334663634927,"model2",0.208321769242173,0.524246251963607,0.207326108943662,0.560893089343273,0.051074269431515,0.172342257149301,0.0540106894041619,0.269885491924471,0.80715550943674,0.760904207301005,0.796851500056013,23,26,0.0752639798305157,0.352670703468039,0.50906202915737,0.185635700603657,0.644267785599349,1.05543403247017,0.179295233155063,0.164747140263785,-0.00657278213276569,0.182212569327355,0.0624867994769615,0.00645312347994011,0.192005578721266,0.280485373810558,-0.772559758527826,-0.339278906556966,-0.361004702163205,-0.0846958029427925,1.01728197227011,0.552823522381653,0.552823522381653,-0.199552132269827
"30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Spotted Goatfish",-30.4756568335224,-11.4336280493118,8.3179305977623,4.72357586680651,"model2",0.259132527835321,0.32648481354458,0.295427319411883,0.602230836543537,0.225615518497505,0.275569982083884,0.169674135401721,0.299655959805493,0.532494935627319,0.538573788368749,0.636399184356279,23,26,0.395137469554834,1.66492075604657,0.0857540350569597,0.0238121922743272,0.651994044938459,0.637149957208185,0.908366493838953,0.421386189540228,0.356758916233837,0.313731754979395,0.0145837031500511,-0.0185521602994445,0.320857625713788,-0.0642949669299733,0.00626905731071342,-0.0574283108043292,-0.426700616763926,0.0318459148659584,0.113917689760846,0.130050488148448,0.130050488148448,-0.426675565533279
"32","Yellow Goatfish",-23.7517767514678,4.80423944209923,6.62080727204452,4.00872476678351,"model2",0.278995114546142,0.318042052996909,0.29953177897307,0.744376007888411,0.131684266757145,0.270925057470983,0.0830502872027822,0.270475841734766,0.68244842354393,0.533524203385178,0.786546396896681,23,26,0.36458875653673,2.29291386926778,1.17991341182892,0.836316502618561,3.56855533826195,1.05337168114646,1.30539118267059,-0.454375578784637,-0.109311248237555,0.302533497783123,0.050840976203922,-0.0129657445424504,-0.442068702856506,0.051307076498318,-0.451716002933487,-0.719747092895591,-0.739206022625455,-0.0546843615265543,1.78783700048551,1.23827399809104,1.23827399809104,-0.48036676077106
"33","Colon Goby",-102.02035908475,-99.1198642122588,11.5474584390313,10.7184328837035,"model2",0.324313680089155,1.40353807684749,0.359330763412107,6.65405011445522,0.505153306449045,5.63477472041854,0.480779759902785,0.0458107985676872,0.388818452220397,0.194211894136235,0.424851922393412,23,26,0.0723145497437216,0.201919573286972,6.98090406636245e-14,0,0.188108499673726,0.781985121345102,1.8995492108004,-0.164454837621974,0.0223905383471355,0.391760193632046,0.0671686290554706,0.0905575157578018,1.14269262152136e-13,0,-3.46133927746587e-13,0,-4.85360254205188e-13,0,7.1722519809835e-13,0,0,-1.33872102380184
"34","Goldspot Goby",-92.060335181247,-94.402357797037,18.2874812613736,19.2821855486538,"model1",0.42262278914181,0.718149670181302,0.41166798383999,3.29792820370308,0.463158051682538,3.12054501068855,0.474080767754765,0.112893822272841,0.474366703798204,0.182682229647588,0.461766033194055,23,26,0.161611976931369,0.930429685690961,0.0459401307349981,0,0.210719420269677,0.760904562471037,2.0237545981616,0.175936429061076,0.242345862608474,0.410822668303789,0.111255868134369,0.00257529642750238,0.203916801214292,0,-0.265059157381089,0,-0.0568178916289373,0,0.133491191379924,0,0,-1.57938167233937
"35","Neon Goby",-33.502556418168,-28.2795604931179,6.46671579731462,6.13544887678978,"model2",0.0976325574761631,0.164569540527859,0.141773704956644,0.619888080761454,0.315796087175004,0.484988999754744,0.28016120145327,0.133616757894057,0.235868063258206,0.24878229043241,0.33123354259381,23,26,0.13769369682546,1.38181110667365,0.67694312414538,0.118333922279214,0.923150635179878,0.787654729375563,0.813644972843133,-0.155793886359614,0.138722285165646,0.414247735745297,0.0605519728804362,0.098514445048883,-0.08802350328268,0.263996513842475,0.837201309524864,0.336514217091679,-1.18755165346527,-0.073037354587991,0.512268564582678,-0.243695415517517,-0.243695415517517,-0.933144112041934
"36","Black Grouper",-14.7845326808069,-11.7684631752056,6.55525652613028,6.30039665907305,"model2",0.228168372559972,0.128039926495986,0.253477606648159,0.471662342179468,0.158076521878565,0.467144306052291,0.129115728221978,0.323999463633085,0.591081888745944,0.210696736151947,0.664377618260792,23,26,0.118370711857272,0.621223795630229,0.545577514099941,0,0.691376329644237,1.29539864043119,0.493939112079507,0.141448471906369,0.0905924162187719,0.216978430745457,0.125431098138638,0.0514803085429851,-0.00677754188263433,0,0.307848044763712,0,-1.06173793896318,0,0.825329127154413,0,0,-0.38030150580688
"37","Coney",-106.74894488603,-106.38489776854,15.2150549497753,14.6055748246285,"model2",0.61281624097992,1.53697152366653,0.615295218019162,14.3733590236769,0.233061014519641,12.9626495699069,0.223972658828351,0.0406028947250279,0.733508756178601,0.102795287896841,0.735952151997652,23,26,0.0185389104250797,0.0512784592487132,1.19494049057388,0,1.1318316930356,1.70366190064,0.354790182079838,0.699039140984644,0.413835271425008,0.169690689269012,0.0542824666298995,0.024733110300912,0.730606804628929,0,-0.927078108830433,0,-0.813559206728153,0,1.24289106683727,0,0,-0.306126387582336
"38","Graysby",-13.615043477191,-10.0820574605521,7.80081284882764,7.84366957930377,"model2",0.121663645142388,0.164967160316582,0.132702104960841,0.45084524126963,0.173064221972094,0.361921360555335,0.162614758563973,0.212506396868095,0.412781540399427,0.309480721839359,0.447671822982992,23,26,0.196052141448196,0.936474586382565,0.733309228111754,0.548060469585226,1.6143594389058,0.405599055944834,1.23403799728907,0.403770780332228,0.294962299368578,0.345324687079244,0.138741416720631,0.0586357978645212,0.521058018099252,0.0737010420667695,-0.0896000198793783,-0.88213409369041,-1.30522738494634,0.32598521211189,0.894602703698455,0.676758802346949,0.676758802346949,-0.849900339134818
